event_date,COUNTRY,location,fatalities
23-November-2013,Mauritania,Dakhlet Nouadhibou,0
03-November-2012,Mauritania,Dakhlet Nouadhibou,0
02-June-2012,Mauritania,Dakhlet Nouadhibou,0
04-August-2012,Mauritania,Dakhlet Nouadhibou,0
23-November-2013,Mauritania,Dakhlet Nouadhibou,0
06-July-2013,Mauritania,Gorgol,0
02-February-2013,Mauritania,Hodh Ech Chargi,0
23-November-2013,Mauritania,Hodh Ech Chargi,0
07-September-2013,Mauritania,Hodh Ech Chargi,0
10-March-2012,Mauritania,Hodh Ech Chargi,0
19-January-2013,Mauritania,Hodh Ech Chargi,0
31-August-2013,Mauritania,Hodh Ech Chargi,0
25-May-2013,Mauritania,Hodh El Gharbi,0
14-July-2012,Mauritania,Inchiri,1
21-July-2012,Mauritania,Inchiri,0
29-June-2013,Mauritania,Nouakchott,0
16-November-2013,Mauritania,Nouakchott,0
04-February-2012,Mauritania,Nouakchott,0
10-March-2012,Mauritania,Nouakchott,0
31-March-2012,Mauritania,Nouakchott,0
21-April-2012,Mauritania,Nouakchott,0
05-May-2012,Mauritania,Nouakchott,0
12-May-2012,Mauritania,Nouakchott,0
19-May-2012,Mauritania,Nouakchott,0
09-June-2012,Mauritania,Nouakchott,0
16-June-2012,Mauritania,Nouakchott,0
23-June-2012,Mauritania,Nouakchott,0
30-June-2012,Mauritania,Nouakchott,0
07-July-2012,Mauritania,Nouakchott,0
14-July-2012,Mauritania,Nouakchott,0
21-July-2012,Mauritania,Nouakchott,0
04-August-2012,Mauritania,Nouakchott,0
18-August-2012,Mauritania,Nouakchott,0
01-September-2012,Mauritania,Nouakchott,0
08-September-2012,Mauritania,Nouakchott,0
15-September-2012,Mauritania,Nouakchott,0
06-October-2012,Mauritania,Nouakchott,0
20-October-2012,Mauritania,Nouakchott,0
27-October-2012,Mauritania,Nouakchott,0
10-November-2012,Mauritania,Nouakchott,0
17-November-2012,Mauritania,Nouakchott,0
15-December-2012,Mauritania,Nouakchott,0
19-January-2013,Mauritania,Nouakchott,0
09-February-2013,Mauritania,Nouakchott,0
16-February-2013,Mauritania,Nouakchott,0
23-February-2013,Mauritania,Nouakchott,0
09-March-2013,Mauritania,Nouakchott,0
30-March-2013,Mauritania,Nouakchott,0
27-April-2013,Mauritania,Nouakchott,0
04-May-2013,Mauritania,Nouakchott,0
18-May-2013,Mauritania,Nouakchott,0
25-May-2013,Mauritania,Nouakchott,0
08-June-2013,Mauritania,Nouakchott,0
22-June-2013,Mauritania,Nouakchott,0
24-August-2013,Mauritania,Nouakchott,0
19-October-2013,Mauritania,Nouakchott,0
26-October-2013,Mauritania,Nouakchott,0
02-November-2013,Mauritania,Nouakchott,0
09-November-2013,Mauritania,Nouakchott,0
16-November-2013,Mauritania,Nouakchott,0
30-November-2013,Mauritania,Nouakchott,0
14-December-2013,Mauritania,Nouakchott,0
03-March-2012,Mauritania,Nouakchott,0
28-April-2012,Mauritania,Nouakchott,0
05-May-2012,Mauritania,Nouakchott,0
12-May-2012,Mauritania,Nouakchott,0
19-May-2012,Mauritania,Nouakchott,0
26-May-2012,Mauritania,Nouakchott,0
09-June-2012,Mauritania,Nouakchott,0
07-July-2012,Mauritania,Nouakchott,0
24-November-2012,Mauritania,Nouakchott,0
23-February-2013,Mauritania,Nouakchott,0
20-April-2013,Mauritania,Nouakchott,0
09-November-2013,Mauritania,Nouakchott,0
09-June-2012,Mauritania,Nouakchott,0
09-November-2013,Mauritania,Nouakchott,0
14-April-2012,Mauritania,Nouakchott,0
21-April-2012,Mauritania,Nouakchott,0
05-May-2012,Mauritania,Nouakchott,0
09-June-2012,Mauritania,Nouakchott,0
28-December-2013,Mauritania,Nouakchott,0
09-June-2012,Mauritania,Nouakchott,1
29-September-2012,Mauritania,Nouakchott,1
24-November-2012,Mauritania,Nouakchott,0
27-April-2013,Mauritania,Tagant,0
23-November-2013,Mauritania,Tiris Zemmour,0
25-May-2013,Mauritania,Tiris Zemmour,0
23-November-2013,Mauritania,Tiris Zemmour,0
23-November-2013,Mauritania,Tiris Zemmour,0
05-October-2013,Mauritania,Trarza,0
09-November-2013,Mauritania,Trarza,0
28-September-2013,Mauritania,Trarza,0
18-May-2013,Niger,Agadez,2
31-August-2013,Niger,Agadez,0
19-May-2012,Niger,Agadez,7
18-May-2013,Niger,Agadez,23
12-October-2013,Niger,Agadez,0
20-April-2013,Niger,Diffa,0
16-June-2012,Niger,Dosso,7
13-October-2012,Niger,Maradi,0
01-June-2013,Niger,Niamey,3
30-March-2013,Niger,Niamey,0
21-December-2013,Niger,Niamey,0
28-December-2013,Niger,Niamey,0
10-August-2013,Niger,Niamey,1
31-August-2013,Niger,Niamey,0
16-November-2013,Niger,Niamey,0
05-May-2012,Niger,Niamey,0
02-February-2013,Niger,Niamey,0
16-February-2013,Niger,Niamey,0
25-May-2013,Niger,Niamey,0
31-August-2013,Niger,Niamey,0
10-March-2012,Niger,Niamey,1
01-June-2013,Niger,Niamey,4
04-August-2012,Niger,Tillaberi,0
31-August-2013,Niger,Tillaberi,0
13-October-2012,Niger,Zinder,0
15-September-2012,Niger,Zinder,0
11-August-2012,Niger,Zinder,0
31-August-2013,Senegal,Dakar,0
11-February-2012,Senegal,Dakar,0
18-February-2012,Senegal,Dakar,1
14-December-2013,Senegal,Dakar,0
21-January-2012,Senegal,Dakar,0
28-January-2012,Senegal,Dakar,0
04-February-2012,Senegal,Dakar,0
11-February-2012,Senegal,Dakar,0
18-February-2012,Senegal,Dakar,0
25-February-2012,Senegal,Dakar,0
09-June-2012,Senegal,Dakar,0
23-June-2012,Senegal,Dakar,0
26-January-2013,Senegal,Dakar,0
02-February-2013,Senegal,Dakar,0
09-February-2013,Senegal,Dakar,0
20-April-2013,Senegal,Dakar,0
27-July-2013,Senegal,Dakar,0
31-August-2013,Senegal,Dakar,0
07-September-2013,Senegal,Dakar,0
14-September-2013,Senegal,Dakar,0
21-September-2013,Senegal,Dakar,0
05-October-2013,Senegal,Dakar,0
19-October-2013,Senegal,Dakar,0
02-November-2013,Senegal,Dakar,0
09-November-2013,Senegal,Dakar,0
16-November-2013,Senegal,Dakar,0
28-December-2013,Senegal,Dakar,0
28-January-2012,Senegal,Dakar,0
18-February-2012,Senegal,Dakar,0
15-December-2012,Senegal,Dakar,0
07-December-2013,Senegal,Dakar,0
04-August-2012,Senegal,Dakar,0
02-March-2013,Senegal,Dakar,0
24-August-2013,Senegal,Dakar,0
21-January-2012,Senegal,Dakar,1
28-January-2012,Senegal,Dakar,2
11-February-2012,Senegal,Dakar,1
18-February-2012,Senegal,Dakar,3
20-October-2012,Senegal,Dakar,0
06-April-2013,Senegal,Dakar,0
27-July-2013,Senegal,Dakar,0
03-August-2013,Senegal,Dakar,0
31-August-2013,Senegal,Dakar,0
14-September-2013,Senegal,Dakar,0
21-September-2013,Senegal,Dakar,0
19-October-2013,Senegal,Dakar,0
09-November-2013,Senegal,Dakar,0
29-June-2013,Senegal,Dakar,0
21-January-2012,Senegal,Dakar,0
06-October-2012,Senegal,Dakar,0
01-September-2012,Senegal,Dakar,0
27-July-2013,Senegal,Fatick,1
07-December-2013,Senegal,Fatick,0
25-August-2012,Senegal,Kaffrine,0
11-May-2013,Senegal,Kedougou,2
11-August-2012,Senegal,Kedougou,0
11-August-2012,Senegal,Kedougou,1
25-February-2012,Senegal,Kolda,4
26-January-2013,Senegal,Louga,0
26-October-2013,Senegal,Louga,0
29-June-2013,Senegal,Matam,0
21-December-2013,Senegal,Saint Louis,0
28-December-2013,Senegal,Saint Louis,0
23-November-2013,Senegal,Saint Louis,0
28-January-2012,Senegal,Saint Louis,2
26-October-2013,Senegal,Saint Louis,0
07-January-2012,Senegal,Sedhiou,0
07-December-2013,Senegal,Sedhiou,0
14-December-2013,Senegal,Sedhiou,0
15-September-2012,Senegal,Tambacounda,0
11-May-2013,Senegal,Tambacounda,0
22-December-2012,Senegal,Thies,0
15-September-2012,Senegal,Thies,0
21-April-2012,Senegal,Thies,0
28-September-2013,Senegal,Thies,0
04-February-2012,Senegal,Thies,0
21-April-2012,Senegal,Thies,0
21-April-2012,Senegal,Thies,0
28-September-2013,Senegal,Thies,0
28-January-2012,Senegal,Ziguinchor,3
11-February-2012,Senegal,Ziguinchor,1
18-February-2012,Senegal,Ziguinchor,1
17-March-2012,Senegal,Ziguinchor,1
19-May-2012,Senegal,Ziguinchor,2
26-May-2012,Senegal,Ziguinchor,0
26-January-2013,Senegal,Ziguinchor,2
30-March-2013,Senegal,Ziguinchor,2
20-April-2013,Senegal,Ziguinchor,1
14-January-2012,Senegal,Ziguinchor,0
24-March-2012,Senegal,Ziguinchor,0
09-February-2013,Senegal,Ziguinchor,2
03-August-2013,Senegal,Ziguinchor,1
18-May-2013,Senegal,Ziguinchor,0
28-December-2013,Senegal,Ziguinchor,0
30-March-2013,Senegal,Ziguinchor,0
19-May-2012,Senegal,Ziguinchor,0
30-March-2013,Senegal,Ziguinchor,0
13-April-2013,Senegal,Ziguinchor,0
27-April-2013,Senegal,Ziguinchor,0
07-January-2012,Senegal,Ziguinchor,0
11-February-2012,Senegal,Ziguinchor,0
26-January-2013,Senegal,Ziguinchor,3
29-June-2013,Senegal,Ziguinchor,1
